Case,Location,latitude,longitude
Yountville veterans home shooting,"Yountville, CA",38.392496,-122.366528
Stoneman Douglas High School shooting,"Parkland, Florida",,
Pennsylvania carwash shooting,"Melcroft, PA",,
Rancho Tehama shooting spree,"Rancho Tehama, CA",,
Texas First Baptist Church massacre,"Sutherland Springs, TX",32.7801052,-96.8000082
Walmart shooting in suburban Denver,"Thornton, CO",43.0605671,-88.1064787
Edgewood businees park shooting,"Edgewood, MD",,
Las Vegas Strip massacre,"Las Vegas, NV",32.693397,-97.47067092
San Francisco UPS shooting,"San Francisco, CA",,
Pennsylvania supermarket shooting,"Tunkhannock, PA",35.047157,-85.311819
Florida awning manufacturer shooting,"Orlando, Florida",,
Rural Ohio nursing home shooting,"Kirkersville, Ohio",38.874981,-76.99453
Fresno downtown shooting,"Fresno, California",,
Fort Lauderdale airport shooting,"Fort Lauderdale, Florida",37.3688301,-122.0363496
Cascade Mall shooting,"Burlington, WA",48.050824,-122.176918
Baton Rouge police shooting,"Baton Rouge, LA",,
Dallas police shooting,"Dallas, Texas",41.4123225,-73.31142358
Orlando nightclub massacre,"Orlando, Florida",37.8043808,-122.2708166
Excel Industries mass shooting,"Hesston, Kansas",31.2011305,-97.77156996
Kalamazoo shooting spree,"Kalamazoo County, Michigan",41.9294736,-88.7503647
San Bernardino mass shooting,"San Bernardino, California",35.6672015,-97.42937037
Planned Parenthood clinic,"Colorado Springs, Colorado",47.61864486,-117.6483587
Colorado Springs shooting rampage,"Colorado Springs, Colorado",37.2295733,-80.4139393
Umpqua Community College shooting,"Roseburg, Oregon",35.345802,-79.4170543
Chattanooga military recruitment center,"Chattanooga, Tennessee",26.1223084,-80.1433786
Charleston Church Shooting,"Charleston, South Carolina",25.796491,-80.226683
Trestle Trail bridge shooting,"Menasha, Wisconsin",39.9589,-76.0806
Marysville-Pilchuck High School shooting,"Marysville, Washington",38.5833862,-90.406785
Isla Vista mass murder,"Santa Barbara, California",41.2587317,-95.9378732
Fort Hood shooting 2,"Fort Hood, Texas",27.823713,-97.41739794
Alturas tribal shooting,"Alturas, California",47.876346,-95.0169401
Washington Navy Yard shooting,"Washington, D.C.",39.754713,-104.835869
Hialeah apartment shooting,"Hialeah, Florida",,
Santa Monica rampage,"Santa Monica, California",32.788387,-79.933143
Pinewood Village Apartment shooting,"Federal Way, Washington",42.8858503,-87.8631362
Mohawk Valley shootings,"Herkimer County, New York",39.6021065,-104.9877273
Sandy Hook Elementary massacre,"Newtown, Connecticut",45.5719072,-88.9028922
Accent Signage Systems shooting,"Minneapolis, Minnesota",,
Sikh temple shooting,"Oak Creek, Wisconsin",25.8670105,-80.29146268
Aurora theater shooting,"Aurora, Colorado",44.0462362,-123.0220289
Seattle cafe shooting,"Seattle, Washington",35.8209895,-90.6682606
Oikos University killings,"Oakland, California",40.7606467,-111.89109
Su Jung Health Sauna shooting,"Norcross, Georgia",39.07868761,-121.5475762
Seal Beach shooting,"Seal Beach, California",41.6606893,-91.5302214
IHOP shooting,"Carson City, Nevada",37.9577016,-121.2907796
Tucson shooting,"Tucson, Arizona",,
Hartford Beer Distributor shooting,"Manchester, Connecticut",,
Coffee shop police killings,"Parkland, Washington",,
Fort Hood massacre,"Fort Hood, Texas",42.4894801,-83.1446485
Binghamton shootings,"Binghamton, New York",,
Carthage nursing home shooting,"Carthage, North Carolina",,
Atlantis Plastics shooting,"Henderson, Kentucky",,
Northern Illinois University shooting,"DeKalb, Illinois",47.6229,-122.3165
Kirkwood City Council shooting,"Kirkwood, Missouri",,
Westroads Mall shooting,"Omaha, Nebraska",,
Crandon shooting,"Crandon, Wisconsin",,
Virginia Tech massacre,"Blacksburg, Virginia",39.9622601,-83.0007065
Trolley Square shooting,"Salt Lake City, Utah",44.9772995,-93.2654692
Amish school shooting,"Lancaster County, Pennsylvania",40.7267682,-73.6342955
Capitol Hill massacre,"Seattle, Washington",41.7759324,-72.5214755
Goleta postal shootings,"Goleta, California",,
Red Lake massacre,"Red Lake, Minnesota",35.0529931,-78.8787058
Living Church of God shooting,"Brookfield, Wisconsin",34.008617,-118.494754
Damageplan show shooting,"Columbus, Ohio",37.76721,-87.5573742
Lockheed Martin shooting,"Meridian, Mississippi",,
Navistar shooting,"Melrose Park, Illinois",,
